Archivo,WER,Inserciones,Sustituciones,Eliminaciones,Transcripción Oficial,Transcripción Whisper
10667_6706_000010.txt,0.21428571428571427,0,9,0,rica pata la pata pedrito y volaba lejos hasta que vio debajo de él muy abajo el río paraná que parecía una lejana y ancha cinta blanca y siguió siguió volando hasta que se asentó por fin en un árbol a descansar,"Rica, papa, la pata Pedrito y volaba lejos hasta que vio debajo de él, muy abajo, el río Paraná, que parecía una lejana y ancha cinta blanca, y siguió, siguió volando hasta que se asentó por fin en un árbol a descansar."
10667_6706_000013.txt,0.35135135135135137,3,10,0,cuando el tiempo se componía volaba entonces gritando como un loco era como se ve un loro bien feliz que además de ser libre como lo desean todos los pájaros tenía también como las personas ricas su,"Cuando el tiempo se componía, volaba entonces gritando como un loco. Era, como se ve, un loro bien feliz, que además de ser libre, como lo desean todos los pájaros, tenía también, como las personas ricas, su five o'clock tea."
10667_6706_000028.txt,0.14634146341463414,0,6,0,cómo iba a presentarse en el comedor con esa figura voló entonces hasta el hueco que había en el tronco de un eucalipto y que era como una cueva y se escondió en el fondo tiritando de frío y de vergüenza,"¿Cómo iba a presentarse en el comedor con esa figura? Voló entonces hasta el hueco que había en el tronco de un eucalipto y que era como una cueva, y se escondió en el fondo, tiritando de frío y de vergüenza."
10667_6706_000033.txt,0.5384615384615384,0,14,0,rica papa le decía querés té con leche la papa para el tigre y todos se morían de risa y pedrito también fin del loro pelado,"Rica papa, le decía. ¿Querés té con leche? La papa para el tigre. Y todos se morían de risa. Y Pedrito también. Fin del loro pelado."
10667_6706_000040.txt,0.1875,0,9,0,el tigre enojadísimo al reconocer a aquel loro pelado que él creía haber muerto y que tenía otra vez lindísimas plumas juró que esta vez no se le escaparía y de sus ojos brotaron dos rayos de ira cuando respondió con su voz ronca acercate más soy sordo,"El tigre, enojadísimo al reconocer a aquel loro pelado que él creía haber muerto y que tenía otra vez lindísimas plumas, juró que esta vez no se le escaparía, y de sus ojos brotaron dos rayos de ira cuando respondió con su voz ronca. ¡Acércate más! ¡Soy sordo!"
10667_6706_000046.txt,0.16216216216216217,0,6,0,un día un hombre bajó de un tiro a un loro centinela el que cayó herido y peleó un buen rato antes de dejarse agarrar el peón lo llevó a la casa para los hijos del patrón,"Un día un hombre bajó de un tiro a un loro centinela, el que cayó herido y peleó un buen rato antes de dejarse agarrar. El peón lo llevó a la casa, para los hijos del patrón."
10667_9310_000005.txt,0.2926829268292683,0,12,0,fagin nada respondió á ese cumplido adulador pero tirando á sikes por la manga le señaló con el dedo á nancy que habiéndose aprovechado del momento en que ellos hablaban para ponerse su sombrero se disponía a salir nancy gritó sikes,"Fahim nada respondió a ese cumplido adulador, pero tirando a Sykes por la manga, le señaló con el dedo a Nancy, que habiéndose aprovechado del momento en que ellos hablaban para ponerse su sombrero, se disponía a salir. Nancy, gritó Sykes."
10667_9310_000007.txt,0.2765957446808511,0,13,0,al llegar a la puerta se paró y lanzando una mirada á su alrededor preguntó si había alguno que quisiera alumbrarle para bajar alúmbrale nancy dijo sikes rellenando su pipa sería una lastima que se rompiera el bautismo privaría a los espectadores del placer de verle colgar,"Al llegar a la puerta, se paró y lanzando una mirada a su alrededor preguntó si había alguno que quisiera alumbrarle para bajar. Alúmbrale Nancy, dijo Sykes rellenando su pipa. Sería una lástima que se rompiera el bautismo. Privaría a los espectadores del placer de verle colgar."
10667_9310_000011.txt,0.32432432432432434,0,12,0,ahora añadió el bandido te digo otra vez que te sientes y permanezcas tranquila estamos seguramente no sería un sombrero el que me impediría salir dijo la joven palideciendo qué significa esto guillermo sabes lo que haces,"Ahora, añadió el bandido, te digo otra vez que te sientes y permanezcas tranquila. ¿Estamos? Seguramente no sería un sombrero el que me impediría salir, dijo la joven palideciendo. ¿Qué significa esto, Guillermo? ¿Sabes lo que haces?"
10667_9310_000045.txt,0.3409090909090909,0,15,0,dónde está carlota ha salido la he mandado á una comision fuera de casa con la otra joven porque necesitaba estar solo con vos hubierais debido encargarla que antes me hiciera tostadas de pan con manteca y bien hablad hablad siempre no me interrumpiréis,"¿Dónde está Carlota? Ha salido. La he mandado a una comisión fuera de casa con la otra joven porque necesitaba estar solo con vos. Hubierais debido encargarla que antes me hiciera tostadas de pan con manteca. Y bien, hablad, hablad siempre, no me interrumpiréis."
10667_9310_000070.txt,0.36363636363636365,0,11,1,el caballero se volvió como para prepararse a  partir tomad esta bolsa exclamó rosa guardadla por amor de mi y para que tengáis algún recurso en la necesidad no no contestó la joven,"El caballero se volvió como para prepararse a partir. Tomad esta bolsa, exclamó Rosa. Guardadla por amor de mí para que tengáis algún recurso en la necesidad. No, no, contestó la joven."
10667_9310_000079.txt,0.20408163265306123,0,10,0,y si llega a denunciar a los otros preguntó nancy os prometo que en el caso que podamos obtener de él la verdad arrancándole su secreto no se tratará de esto puede haber en la historia del niño oliverio particularidades que sería penoso someter a la vista del público,"¿Y si llega a denunciar a los otros? Preguntó Nancy. Os prometo que en el caso que podamos obtener de él la verdad arrancándole su secreto, no se tratará de esto. Puede haber en la historia del niño Oliverio particularidades que sería penoso someter a la vista del público."
10667_9310_000106.txt,0.2558139534883721,0,11,0,dijo nancy después de otro momento de silencio acepto vuestra palabra y me entrego enteramente a vosotros después de obtenida la seguridad de rosa y del caballero que podia estar perfectamente tranquila empezó con voz tan baja que el espía apenas podia oírla,"Dijo Nancy después de otro momento de silencio. Acepto vuestra palabra y me entrego enteramente a vosotros. Después de obtenida la seguridad de Rosa y del caballero que podía estar perfectamente tranquila, empezó con voz tan baja que el espía apenas podía oírla."
11168_11957_000031.txt,0.27906976744186046,0,12,0,en tiempos del señor lombroso teníamos en efecto unos cerebros especiales y cuando queríamos trabajar buscábamos de acuerdo con nuestros gustos particulares o según la inspiración del momento un hacha un cuchillo un revólver o una maza hoy en cambio buscamos un cerebro,"En tiempos del señor Lombroso teníamos, en efecto, unos cerebros especiales y cuando queríamos trabajar buscábamos, de acuerdo con nuestros gustos particulares o según la inspiración del momento, un hacha, un cuchillo, un revólver o una masa. Hoy, en cambio, buscamos un cerebro."
11168_11957_000034.txt,0.30303030303030304,1,9,0,puede con poco esfuerzo producir ingresos suficientes para cubrir todas las necesidades de un buen padre de familia conque asesino exclamé yo con una amabilidad que quizá no fuese completamente espontánea muy interesante,"Puede, con poco esfuerzo, producir ingresos suficientes para cubrir todas las necesidades de un buen padre de familia. ¿Con qué asesino? exclamé yo, con una amabilidad que quizá no fuese completamente espontánea. Muy interesante."
